Objecttype;Clustercode;Dakpartner;Betrokken Projectleider Techniek Daken;Jaar laatste dakonderhoud;Dakveiligheidsvoorzieningen aangebracht?;Bliksembeveiliging;Antenneopstelplaats
Building;35022;Oranjedak;Jack Robbemond;;;;
Building;35023;Oranjedak;Jack Robbemond;;;;
Building;35024;Oranjedak;Jack Robbemond;;Ja;;
Building;35025;Oranjedak;Jack Robbemond;;;;GSO
Building;35027;Oranjedak;Jack Robbemond;;Ja;;
Building;35028;Oranjedak;Jack Robbemond;;Ja;;
Building;35029;Oranjedak;Jack Robbemond;;;;
Building;35030;Oranjedak;Jack Robbemond;;Nee;;
Building;35031;Oranjedak;Jack Robbemond;;;;
Building;35032;Oranjedak;Jack Robbemond;;;;
Building;35034;Oranjedak;Jack Robbemond;;Nee;;
Building;35040;Oranjedak;Jack Robbemond;;;;
Building;35041;Oranjedak;Jack Robbemond;;Nee;;
Building;35042;Oranjedak;Jack Robbemond;;;;
Building;35043;Oranjedak;Jack Robbemond;;;;
Building;35044;Oranjedak;Jack Robbemond;;Ja;;
Building;35046;Oranjedak;Jack Robbemond;;Ja;;
Building;35048;Oranjedak;Jack Robbemond;;;;
Building;35049;Oranjedak;Jack Robbemond;;Ja;;
Building;35050;Oranjedak;Jack Robbemond;;;;
Building;35053;Oranjedak;Jack Robbemond;;Nee;;
Building;35054;Oranjedak;Jack Robbemond;;;;
Building;35055;Oranjedak;Jack Robbemond;;Nee;;
Building;35056;Oranjedak;Jack Robbemond;;;;
Building;35101;Oranjedak;Jack Robbemond;;Ja;;
Building;35103;Oranjedak;Jack Robbemond;;;;
Building;35104;Oranjedak;Jack Robbemond;;Ja;;
Building;35105;Oranjedak;Jack Robbemond;;;;
Building;35106;Oranjedak;Jack Robbemond;;Ja;;
Building;35107;Oranjedak;Jack Robbemond;;;;
Building;35108;Oranjedak;Jack Robbemond;;;;
Building;35109;Oranjedak;Jack Robbemond;;;;
Building;35111;Oranjedak;Jack Robbemond;;;;
Building;35112;Oranjedak;Jack Robbemond;;Nee;;
Building;35113;Oranjedak;Jack Robbemond;;;;
Building;35115;Oranjedak;Jack Robbemond;;;;
Building;35122;Oranjedak;Jack Robbemond;;;;
Building;35126;Oranjedak;Jack Robbemond;;;;
Building;35127;Oranjedak;Jack Robbemond;;Ja;;
Building;35128;Oranjedak;Jack Robbemond;;;;
Building;35129;Oranjedak;Jack Robbemond;;;;
Building;35130;Oranjedak;Jack Robbemond;;;;
Building;35143;Oranjedak;Jack Robbemond;;Ja;;
Building;35144;Oranjedak;Jack Robbemond;;;;
Building;35145;Oranjedak;Jack Robbemond;;Ja;;
Building;35147;Oranjedak;Jack Robbemond;;Ja;;
Building;35148;Oranjedak;Jack Robbemond;;Ja;;
Building;35149;Oranjedak;Jack Robbemond;;Nee;;
Building;35150;Oranjedak;Jack Robbemond;;Ja;;
Building;35161;Oranjedak;Jack Robbemond;;;;
Building;35162;Oranjedak;Jack Robbemond;;;;
Building;35164;Oranjedak;Jack Robbemond;;;;
Building;35166;Oranjedak;Jack Robbemond;;;;
Building;36000;Oranjedak;Jack Robbemond;;Ja;;
Building;36001;Oranjedak;Jack Robbemond;;Nee;;
Building;36002;Oranjedak;Jack Robbemond;;;;
Building;36102;Oranjedak;Jack Robbemond;;Nee;;
Building;36106;Oranjedak;Jack Robbemond;;;;
Building;36107;Oranjedak;Jack Robbemond;;Nee;;
Building;36108;Oranjedak;Jack Robbemond;;;;
Building;36109;Oranjedak;Jack Robbemond;;;;
Building;36153;Oranjedak;Jack Robbemond;;Ja;;
Building;36161;Oranjedak;Jack Robbemond;;;;
Building;36181;Oranjedak;Jack Robbemond;;;;
Building;36182;Oranjedak;Jack Robbemond;;;;
Building;36183;Oranjedak;Jack Robbemond;;;;
Building;36191;Oranjedak;Jack Robbemond;;;;
Building;36192;Oranjedak;Jack Robbemond;;;;
Building;36197;Oranjedak;Jack Robbemond;;;;
Building;36198;Oranjedak;Jack Robbemond;;;;
Building;36200;Oranjedak;Jack Robbemond;;;;
Building;36201;Oranjedak;Jack Robbemond;;;;
Building;36202;Oranjedak;Jack Robbemond;;;;
Building;36203;Oranjedak;Jack Robbemond;;;;
Building;36205;Oranjedak;Jack Robbemond;;;;
Building;36357;Oranjedak;Jack Robbemond;;;;
Building;36358;Oranjedak;Jack Robbemond;;;;
Building;36359;Oranjedak;Jack Robbemond;;;;
Building;36360;Oranjedak;Jack Robbemond;;;;
Building;36361;Oranjedak;Jack Robbemond;;;;
Building;36362;Oranjedak;Jack Robbemond;;;;
Building;36363;Oranjedak;Jack Robbemond;;;;
Building;36364;Oranjedak;Jack Robbemond;;;;
Building;36365;Oranjedak;Jack Robbemond;;;;
Building;36366;Oranjedak;Jack Robbemond;;;;
Building;36367;Oranjedak;Jack Robbemond;;;;
Building;36368;Oranjedak;Jack Robbemond;;;;
Building;36369;Oranjedak;Jack Robbemond;;;;
Building;36370;Oranjedak;Jack Robbemond;;;;
Building;36371;Oranjedak;Jack Robbemond;;;;
Building;36372;Oranjedak;Jack Robbemond;;;;
Building;36373;Oranjedak;Jack Robbemond;;;;
Building;36374;Oranjedak;Jack Robbemond;;;;
Building;36375;Oranjedak;Jack Robbemond;;;;
Building;37000;Oranjedak;Jack Robbemond;;Ja;;
Building;37101;Oranjedak;Jack Robbemond;;;;
Building;41000;Oranjedak;Jack Robbemond;;Ja;;
Building;41001;Oranjedak;Jack Robbemond;;;Ja;
Building;41002;Oranjedak;Jack Robbemond;;;;
Building;41003;Oranjedak;Jack Robbemond;;;;
Building;41004;Oranjedak;Jack Robbemond;;;;
Building;41005;Oranjedak;Jack Robbemond;;;;
